1,2,3
15173,Вставка диэлектрическая 1,3.0
4808,Вставка диэлектрическая 1/2 г/ш,3.0
4809,Вставка диэлектрическая 3/4 г/ш,3.0
4872,Газопровод-ввод ВГД ПЭ100ГАЗ,5.0
15212,Газопровод-ввод ВГД ПЭ100ГАЗ 2.5м,5.0
15218,Газопровод-ввод ВГД ПЭ100ГАЗ 2м,5.0
15189,Герметизирующая нить Локтайт 55 48х160,2.0
15211,"Герметизирующая нить тефлоновая ""UNIFLOT""175м",2.0
15241,"Горелка ацетиленовая Г2-06А (нак. 0,1,2,3) Малышка",2.0
15200,Заглушка SDR11 ПЭ100 d50 Турция,3.0
15235,"Заглушка концевая вн.3/4"" (под пломбу)",3.0
4937,Заглушка электросварная  К50 мм ПЭ 100,3.0
14419,Заглушка электросварная (для головной части седелки) d55 мм ПЭ100  SDR,3.0
3704,Заглушка электросварная 0032мм ПЭ100 SDR11,3.0
3864,Заглушка электросварная 0040мм ПЭ100 SDR11,3.0
14607,Заглушка электросварная 0050мм ПЭ100 SDR11,3.0
15128,Заглушка электросварная 0063мм ПЭ100 SDR11,3.0
4133,Извещатель газовый ИП401-12Т.,4.0
15176,Изолирующий сгон ИМСС-25,5.0
15201,Клапан EVRMNA 3OZ,4.0
4261,Клапан запорный газовый КЗГ Ду-20 12В,4.0
4489,Клапан запорный газовый КЗГ Ду-25 12В,4.0
15215,Клапан запорный с электромагнитным управлением газовый КЗЭУГ-А-20М (Ал,4.0
3509,"Клапан термозапорный КТЗ-15-0,6",4.0
3510,"Клапан термозапорный КТЗ-20-0,6",4.0
4918,"Клапан термозапорный КТЗ-25-0,6",4.0
15223,Клапан электромагнитный м16/rm n.a. DN20 P MAKC 500 МБАР 12 В Италия,4.0
15203,Клапан электромагнитный м16/rm n.a. DN32 P MAKC 500 МБАР 230 В Италия,4.0
15230,"Клапан электромагнитный НО М16/RMC Ду 20, RMC03 001 Италия",4.0
15227,"Клапан электромагнитный НО М16/RMC Ду 25, RMC04 001 Италия",4.0
14445,КОВЕР325,4.0
3651,Кожух для регулятора давления газа,6.0
3658,Кожух для счетчика газа,6.0
3655,Кожух для счетчика и регулятора давления газа,6.0
15188,Колено для ПЭ-труб вн. 20х1,5.0
15187,Колено для ПЭ-труб вн. 20х3/4,5.0
15226,"Кран шаровый ALSO КШПП Ду20, Ру4,0МПа из ст.20полнопроходной приварной",3.0
14745,Кран шаровый LD DN 40 мм КШЦП,3.0
15234,"Кран шаровый LD КШЦП Gas П/П.02 из стали 20 Ду25 Ру4,0МПа",3.0
15224,"Кран шаровый ВВ 1"" LD Pride 47.25.B-B.P GAS Ду25 Ру 40 рычаг",3.0
3657,"Кран шаровый ВВ 1"" газовый Giacomini",3.0
15221,"Кран шаровый ВВ 1"" газовый Цветлит",3.0
3596,"Кран шаровый ВВ 1/2"" газовый Giacomini",3.0
3597,"Кран шаровый ВВ 3/4"" газовый Giacomini",3.0
15175,Кран шаровый ВВ 32,3.0
15222,Кран шаровый цельносварной под приварку 11в672 ЦП DN25/20PN40 РФ,3.0
15225,КТР 1 1/2,3.0
15207,"КТР 1 1/4"" (39-46)мм",3.0
15242,КТР 114,3.0
5123,КТР 15 мм,3.0
5124,КТР 20 мм,3.0
5125,КТР 25 мм,3.0
15204,КТР 32,3.0
14450,КТР 50 мм,3.0
14451,КТР 80 мм,3.0
15210,КТР в сборе 1/2,3.0
4288,"ЛЕНТА СИГНАЛЬНАЯ ЛС 0,080Х200 ГАЗ",2.0
15199,Муфта SDR11 ПЭ100 d32,3.0
15240,Ниппель д.6 (гайка М16),3.0
4996,Отвод электросварной 32/90гр.,3.0
14430,Отвод электросварной 45гр. 0110мм. ПЭ100  SDR11.,3.0
14431,Отвод электросварной 45гр. 0225мм. ПЭ100  SDR11.,3.0
14438,Отвод электросварной 90гр. 00063мм. ПЭ100 SDR11.,3.0
14433,Отвод электросварной 90гр. 00110мм. ПЭ100  SDR11.,3.0
14434,Отвод электросварной 90гр. 00225мм. ПЭ100  SDR11.,3.0
15178,Отвод электросварной 90гр. 0032мм ПЭ100 SDR11,3.0
14432,Отвод электросварной 90гр. 0090мм. ПЭ100  SDR11.,3.0
14440,Переход полиэтилен/сталь 0090х3,3.0
15127,Переход полиэтилен/сталь 63х32,3.0
14413,"Переход ПЭ-сталь 0225Х8"" мм.ПЭ100 SDR11.",3.0
14426,Переход электросварной 00110х0063мм. ПЭ100 SDR11.,3.0
14427,Переход электросварной 00160х00110мм. ПЭ100 SDR11.,3.0
14428,Переход электросварной 00225х00160мм. ПЭ100 SDR11.,3.0
14424,Переход электросварной 0063х0032мм. ПЭ100 SDR11.,3.0
14425,Переход электросварной 0090х0063мм. ПЭ100 SDR11.,3.0
15182,Переход электросварной литой 32/20 ПЭ 100 SDR11,3.0
15216,Прокладка Н3 110400003 (маленькая),3.0
15217,Прокладка Н3 90001847 (большая),3.0
15195,Прокладка паронитовая 1/2 ПМБ,3.0
15196,Прокладка паронитовая 3/4 ПМБ,3.0
15243,Регулятор давления газа ARD 10 G угловой,4.0
1339,Регулятор давления газа ARD 10 L линейный,4.0
15070,Регулятор давления газа ARD 25,4.0
15219,"Регулятор РДГД-м-2,0-л",4.0
15239,Редуктор ацетиленовый БАО-5-4 (БАМЗ),4.0
15186,"Редуктор баллонный (пропан) РДСГ-1-1,2 (НОВОГАЗ) (НЗ 31.00.00-04)",4.0
15238,Редуктор кислородный TOROS БКО-50-Т1,4.0
15214,"Резьбонарезная голова М12х1,75-9ХС",2.0
15237,"Рукав ацетиленовый GOX Wldflex 6,3х3 50м",1.0
15236,"Рукав кислородный GOX Wldflex 6,3х3 50м",1.0
14626,Седелка электросварная 100/32 ПЭ100 sdr11,3.0
15171,Седелка электросварная 110х32 ПЭ100 SDR11 Турция,3.0
14423,Седелка электросварная с ответной частью моноблок 00110х0063мм. ПЭ 100,3.0
3863,Седелка электросварная с ответной частью моноблок 0063мм*0032мм ПЭ100,3.0
14417,Седелка электросварная с ответной частью моноблок 0090х0032мм. ПЭ 100,3.0
14420,Седелка электросварная с ответной частью моноблок 0090х0063мм. ПЭ 100,3.0
15177,Седелка электросварная с ответной частью моноблок 0160х0032 ПЭ100 SDR1,3.0
15198,Седелка электросварная с ответной частью моноблок 0160х0032 ПЭ100 SDR1,3.0
15181,Седелка электросварная с ответной частью моноблок 32/20 GF,3.0
4149,Сигнализатор газовый СГ-1СНс-230В (V8) РБ,4.0
3508,Сигнализатор загазованности S 092,4.0
15208,Сигнализатор загазованности ЗОРД-УГС-03,4.0
15205,Сигнализатор загазованности комбинированный КМ-81,4.0
15233,Сигнализатор загазованности С3-1Ai бытовой CH4,4.0
15167,Сигнализатор угарного газа ЗОРД УГС-01 СО,4.0
4259,"Счетчик газа  ""Гранд1,6""",1.0
15231,"Счетчик газа  ""Гранд1,6"" большой экран",1.0
15172,"Счетчик газа ""Гранд 16ТК"" G2",1.0
14747,"Счетчик газа Гранд 4 Б/К"" ТК"" G3/4""",1.0
15170,Счетчик газа Гранд 4ТК G3/4 РФ,1.0
4452,Счетчик газа диафр с термокомпенс.СГД -3Т-1И-1-G4 (левый),1.0
15168,Счетчик газа диафр с термокомпенс.СГД -3Т-1И-1-G6 (левый),1.0
