1,2,3
275,Адаптер внешний 1/2 и 3/4 Startul Garden,9.0
418,Адаптер внешний 1/2 и 3/4 ВОЛАТ,9.0
276,Адаптер внутренний 1/2 Startul garden,9.0
277,Адаптер внутренний 3/4 Startul garden,9.0
592,Американка внутренняя-внутренняя DN 40 чугун,9.0
593,Американка внутренняя-наружная DN 40 чугун,9.0
1,Американка ПП ВР 20х1/2 серый РосТурПласт,9.0
2,Американка ПП ВР 20х3/4 серый РосТурПласт,9.0
148,Американка ПП ВР 25х1 серый РосТурПласт,9.0
298,Американка ПП ВР 25х1/2 серый РосТурПласт,9.0
3,Американка ПП ВР 25х3/4 серый РосТурПласт,9.0
220,Американка ПП ВР 32х1 1/4 серый,9.0
79,Американка ПП ВР 32х1 серая,9.0
138,Американка ПП ВР 32х3/4 серый РосТурПласт,9.0
4,Американка ПП НР 20х1/2 серый РосТурПласт,9.0
5,Американка ПП НР 20х3/4 серый РосТурПласт,9.0
189,"Американка ПП НР 25х1"", белый РосТурПласт",9.0
214,"Американка ПП НР 25х1"", серый РосТурПласт",9.0
526,"Американка ПП НР 25х1/2, белый РосТурПласт",9.0
215,Американка ПП НР 25х3/4 белый РосТурПласт,9.0
6,Американка ПП НР 25х3/4 серый РосТурПласт,9.0
82,Американка ПП НР 32х1 серый,9.0
240,Американка ПП НР 32х3/4 серый РосТурПласт,9.0
227,Американка ПП НР 40х1 1/4 белый РосТурПласт,9.0
711,"Американка прямая 1"" вн. х 3/4"" нар. (2 шт. в уп.)",9.0
7,Американка прямая 1/2 (сгон латунный) Цветлит,9.0
687,"Американка прямая 1/2"" вн-нар AV",9.0
8,Американка прямая 3/4 (сгон латунный) Цветлит,9.0
163,"Американка угловая 1"" вн. х 1"" нар. (2 шт. в уп.)",9.0
601,Американка чугун Ду 15 ВР/ВР Fittex PLUS,9.0
607,Американка чугун Ду 15 ВР/НР Fittex PLUS,9.0
602,Американка чугун Ду 20 ВР/ВР Fittex PLUS,9.0
675,Американка чугун Ду 20 ВР/ВР АV Engineering,9.0
608,Американка чугун Ду 20 ВР/НР Fittex PLUS,9.0
603,Американка чугун Ду 25 ВР/ВР Fittex PLUS,9.0
609,Американка чугун Ду 25 ВР/НР Fittex PLUS,9.0
604,Американка чугун Ду 32 ВР/ВР Fittex PLUS,9.0
567,Американка чугун Ду 32 ВР/НР Fittex PLUS,9.0
605,Американка чугун Ду 40 ВР/ВР Fittex PLUS,9.0
610,Американка чугун Ду 40 ВР/НР Fittex PLUS,9.0
606,Американка чугун Ду 50 ВР/ВР Fittex PLUS,9.0
660,Американка чугун Ду 50 ВР/НР Fittex PLUS,9.0
